datetime,open,high,low,close
2025-02-03,2802.30005,2830.6001,2772.37988,2818.37012
2025-02-01,2796.07007,2802.58008,2794.37012,2798.52002
2025-01-31,2793.3999,2817.12012,2789.55005,2796.33008
2025-01-30,2755.20996,2798.47998,2752.75,2793.54004
2025-01-29,2764.8501,2766.30005,2744.90991,2755.32007
2025-01-28,2739.43994,2765.02002,2734.8999,2764.87012
2025-01-27,2765.66992,2772.61011,2730.59009,2739.37988
2025-01-25,2774.67993,2774.8501,2770.66992,2771.25
2025-01-24,2754.12012,2786.05005,2751.47998,2774.68994
2025-01-23,2755.44995,2758.83008,2735.96997,2754.19995
2025-01-22,2742.80005,2763.37988,2740.15991,2755.42993
2025-01-21,2707.44995,2745.96997,2702.87012,2742.95996
2025-01-20,2703.15991,2713.98999,2689.44995,2708.31006
2025-01-18,2703.21997,2704.27002,2699.40991,2702.86011
2025-01-17,2715.40991,2717.44995,2702.88989,2703.27002
2025-01-16,2694.1001,2724.77002,2690.1001,2715.37988
2025-01-15,2674.34009,2696.06006,2669.42993,2693.93994
2025-01-14,2658.97998,2676.3501,2658.8501,2674.37988
2025-01-13,2689.93994,2693.32007,2656.90991,2658.97998
2025-01-11,2685.94995,2693.47998,2684.71997,2690.15991
2025-01-10,2670.3501,2697.8999,2664.13989,2685.93994
2025-01-09,2658.36011,2678.15991,2655.72998,2670.22998
2025-01-08,2649.43994,2669.95996,2645.3501,2658.3501
2025-01-07,2634.46997,2664.26001,2633.07007,2649.44995
2025-01-06,2639.91992,2649.46997,2614.88989,2634.47998
2025-01-04,2639.42993,2640.8501,2636.83008,2639.48999
2025-01-03,2654.93994,2665.34009,2639.17993,2639.68994
2025-01-02,2625.1499,2660.44995,2621.78003,2654.78003
2025-01-01,2623.66992,2625.03003,2622.15991,2624.56006
2024-12-31,2607.15991,2627.57007,2602.69995,2623.84009
2024-12-30,2621.61011,2628.11011,2596.19995,2607.17993
2024-12-28,2620.68994,2622.28003,2612.82007,2621.8999
2024-12-27,2634.94995,2638.36011,2611.81006,2620.72998
2024-12-26,2616.29004,2639.12012,2615.22998,2635.06006
2024-12-24,2611.37988,2621.46997,2609.22998,2617.27002
2024-12-23,2622.87988,2633.30005,2608.18994,2611.27002
2024-12-21,2627.93994,2628.13989,2619.3999,2623.29004
2024-12-20,2596.98999,2631.77002,2589.80005,2627.94995
2024-12-19,2604.63989,2626.44995,2583.55005,2596.8501
2024-12-18,2645.44995,2651.80005,2604.28003,2604.28003
2024-12-17,2653.3501,2658.76001,2633.22998,2645.40991
2024-12-16,2649.1499,2664.47998,2643.6499,2653.36011
2024-12-14,2653.03003,2653.56006,2646.23999,2648.51001
2024-12-13,2683.07007,2692.76001,2652.31006,2653.07007
2024-12-12,2718.12012,2726.30005,2675.22998,2683.07007
2024-12-11,2692.01001,2721.13989,2675.55005,2718.11011
2024-12-10,2659.96997,2695.61011,2656.82007,2691.97998
2024-12-09,2643.19995,2676.43994,2627.59009,2660.31006
2024-12-07,2635.03003,2636.46997,2631.21997,2633.19995
2024-12-06,2629.90991,2645.67993,2613.8501,2634.8999
2024-12-05,2651.72998,2655.56006,2623.68994,2629.87988
2024-12-04,2640.90991,2657.13989,2632.68994,2651.80005
2024-12-03,2637.6001,2655.62012,2634.27002,2641.03003
2024-12-02,2649.37988,2651.55005,2621.98999,2637.69995
2024-11-29,2638.67993,2666.3501,2634.43994,2650.11011
2024-11-28,2634.77002,2649.69995,2621.02002,2637.38989
2024-11-27,2628.27002,2658.21997,2627.1499,2634.78003
2024-11-26,2625.92993,2641.98999,2605.3501,2628.11011
2024-11-25,2711.84009,2721.34009,2615.72998,2625.72998
2024-11-23,2708.1499,2716.30005,2705.15991,2716.08008
2024-11-22,2669.78003,2711.47998,2668.15991,2708.22998
2024-11-21,2650.86011,2673.55005,2647.30005,2669.72998
2024-11-20,2630.81006,2655.47998,2618.96997,2650.94995
2024-11-19,2609.84009,2639.48999,2608.31006,2630.77002
2024-11-18,2568.13989,2615.09009,2568.13989,2609.87988
2024-11-16,2563.92993,2563.96997,2559.98999,2563.07007
2024-11-15,2576.06006,2576.15991,2554.62012,2563.93994
2024-11-14,2581.06006,2581.42993,2536.8999,2576.02002
2024-11-13,2598.26001,2618.68994,2577.72998,2581.05005
2024-11-12,2619.3501,2626.98999,2589.8999,2598.27002
2024-11-11,2682.55005,2686.12988,2610.76001,2619.23999
2024-11-09,2687.1499,2688.63989,2682.97998,2684.19995
2024-11-08,2694.3999,2710.43994,2680.3999,2687.18994
2024-11-07,2667.15991,2700.38989,2643.77002,2694.44995
2024-11-06,2740.44995,2749.72998,2652.6001,2667.15991
2024-11-05,2738.3999,2750.01001,2724.78003,2740.47998
2024-11-04,2733.36011,2748.22998,2732.01001,2738.38989
2024-11-02,2734.31006,2736.91992,2733.3999,2736.3999
2024-11-01,2746.57007,2762.31006,2733.31006,2734.15991
2024-10-31,2787.55005,2790.1001,2731.6499,2746.56006
2024-10-30,2772.34009,2790.01001,2771.06006,2787.56006
2024-10-29,2742.59009,2774.80005,2740.12012,2772.27002
2024-10-28,2733.68994,2745.98999,2724.80005,2742.59009
2024-10-26,2742.6001,2747.68994,2742.57007,2747.62988
2024-10-25,2736.8501,2745.1001,2717.17993,2742.56006
2024-10-24,2716.18994,2743.31006,2714.30005,2736.81006
2024-10-23,2748.65991,2758.51001,2708.88989,2716.1001
2024-10-22,2720.06006,2748.8999,2718.93994,2748.71997
2024-10-21,2723.13989,2740.6001,2714.34009,2719.93994
2024-10-19,2719.8501,2722.6001,2719.31006,2721.67993
2024-10-18,2692.13989,2721.30005,2691.02002,2719.71997
2024-10-17,2674.98999,2696.76001,2673.19995,2692.11011
2024-10-16,2661.84009,2685.27002,2658.77002,2674.97998
2024-10-15,2652.62012,2668.93994,2638.22998,2661.81006
2024-10-14,2649.93994,2666.72998,2643.31006,2652.63989
2024-10-12,2656.3501,2657.31006,2654.77002,2657.26001
2024-10-11,2629.42993,2661.47998,2628.23999,2656.17993
2024-10-10,2609.27002,2631.40991,2604.17993,2629.34009
2024-10-09,2622.98999,2624.38989,2605.22998,2609.26001
2024-10-08,2643.32007,2652.97998,2604.88989,2622.90991
2024-10-07,2651.75,2659.6499,2637.87988,2643.31006
2024-10-04,2657.07007,2670.19995,2632.1001,2653.52002
2024-10-03,2658.52002,2662.88989,2640.1001,2656.19995
2024-10-02,2661.94995,2663.32007,2641.27002,2658.80005
2024-10-01,2633.37988,2673.12012,2632.38989,2663.42993
2024-09-30,2661.73999,2666.05005,2624.77002,2634.72998
2024-09-27,2671.87988,2674.1499,2643.18994,2658.32007
2024-09-26,2657.56006,2685.61011,2655.13989,2672.43994
2024-09-25,2658.67993,2670.52002,2649.86011,2657.15991
2024-09-24,2627.17993,2664.37988,2622.81006,2657.13989
2024-09-23,2620.96997,2634.8501,2613.97998,2628.54004
2024-09-20,2586.26001,2625.82007,2584.88989,2622.27002
2024-09-19,2557.37988,2594.8999,2551.38989,2586.78003
2024-09-18,2569.48999,2600.15991,2547.15991,2559.37988
2024-09-17,2582.58008,2586.98999,2560.8999,2569.58008
2024-09-16,2578.28003,2589.68994,2575.31006,2582.51001
2024-09-13,2558.31006,2586.1001,2556.76001,2579.01001
2024-09-12,2512.32007,2560.1001,2511.11011,2558.75
2024-09-11,2516.42993,2528.86011,2501.09009,2511.51001
2024-09-10,2506.31006,2518.42993,2500.22998,2516.6499
2024-09-09,2497.05005,2507.21997,2485.71997,2506.31006
2024-09-06,2516.82007,2529.18994,2485.26001,2497.44995
2024-09-05,2495.45996,2523.22998,2493.90991,2516.76001
2024-09-04,2492.71997,2500.19995,2472.02002,2495.6499
2024-09-03,2499.37988,2506.28003,2473.68994,2492.97998
